"用户信息_学段","用户信息_学科","课程信息_年级","教师行为_板书时长","教师行为_讲授时长","教师行为_巡视时长","教师行为_课件操作时长","教师行为_师生对话时长","教师行为_观察时长","学生行为_读写时长","学生行为_举手时长","学生行为_听讲时长","学生行为_生生互动时长","学生行为_应答时长","学生行为_上台展示时长","教学场景_知识讲解时长","教学场景_作业练习时长","教学场景_汇报展示时长","教学场景_小组学习时长","教学场景_师生对话时长","教学场景_知识讲解个数","教学场景_作业练习个数","教学场景_汇报展示个数","教学场景_小组学习个数","教学场景_师生对话个数","教学场景_知识讲解占比","教学场景_作业练习占比","教学场景_汇报展示占比","教学场景_小组学习占比","教学场景_师生对话占比","参与度_总参与度","参与度_知识讲解","参与度_作业练习","参与度_汇报展示","参与度_小组学习","参与度_师生对话","一致性_总一致性","一致性_知识讲解","一致性_作业练习","一致性_汇报展示","一致性_小组学习","一致性_师生对话","抬头率_总抬头率","抬头率_知识讲解","抬头率_作业练习","抬头率_汇报展示","抬头率_小组学习","抬头率_师生对话","活跃度_总活跃度","活跃度_知识讲解","活跃度_作业练习","活跃度_汇报展示","活跃度_小组学习","活跃度_师生对话","知识讲解场景_话语讲授时长","知识讲解场景_板书时长","知识讲解场景_课件操作时长","知识讲解场景_互动时长","知识讲解场景_停顿时长","知识讲解场景_话语讲授占比","知识讲解场景_板书占比","知识讲解场景_课件操作占比","知识讲解场景_互动占比","知识讲解场景_停顿占比","知识讲解场景_平均语速分钟个数","知识讲解场景_最低语速分钟个数","知识讲解场景_最高语速分钟个数","知识讲解场景_口头禅个数","知识讲解场景_口头禅总次数","知识讲解场景_巡视时长(分钟)","知识讲解场景_巡视次数","知识讲解场景_巡视位置是否均衡","师生对话场景_老师话语时长","师生对话场景_学生直接应答时长","师生对话场景_学生站立应答时长","师生对话场景_齐答时长","师生对话场景_沉寂混乱时长","师生对话场景_老师话语占比","师生对话场景_学生直接应答占比","师生对话场景_学生站立应答占比","师生对话场景_齐答占比","师生对话场景_沉寂混乱占比","全课堂_师生对话次数","全课堂_短应答次数","全课堂_长应答次数","全课堂_齐答次数","全课堂_声音过低次数","全课堂_短应答占比","全课堂_长应答占比","全课堂_齐答占比","全课堂_声音过低占比","全课堂_应答时长<1秒次数","全课堂_应答时长1-2秒次数","全课堂_应答时长2-3秒次数","全课堂_应答时长3-4秒次数","全课堂_应答时长>4秒次数","全课堂_举手次数","全课堂_举手人次","全课堂_1人举手次数","全课堂_2-3人举手次数","全课堂_4-6人举手次数","全课堂_7-10人举手次数","全课堂_>10人举手次数","全课堂_站立应答次数","全课堂_站立应答分布是否均衡","课堂问题_总个数","课堂问题_是何问题个数","课堂问题_为何问题个数","课堂问题_如何问题个数","课堂问题_若何问题个数","课堂问题_其他问题个数","课堂问题_是何问题占比","课堂问题_为何问题占比","课堂问题_如何问题占比","课堂问题_若何问题占比","课堂问题_其他问题占比","ST分析_是否有长达2以上的学生主导时间","ST分析_是否有长达1以上的老师主导时间","ST分析_Rt值是否在0.35~0.6之间","ST分析_Ch值是否在0.3~0.5之间","ST分析_教师占有率","ST分析_学生占有率","ST分析_师生行为转换率"
"初中","数学","初三",255,1470,748,101,119,0,21,17,2330,142,25,0,1543,706,0,142,119,13,5,0,6,7,61.2,28.0,0,5.6,4.7,76.5,71.4,85.5,0,92.0,70.2,59.5,51.5,79.3,0,52.9,55.1,42.2,52.0,18.3,0,53.9,44.0,23.2,22.2,24.4,0,27.2,24.0,1424,215,101,21,322,74.8,13.9,6.5,1.4,20.9,314,153,564,2,66,12,29,0,31,21,4,0,63,26.1,17.6,3.4,0.0,52.9,3,1,2,0,0,33.3,66.7,0.0,0.0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,85,39,2,4,0,40,46,2,5,0,47,0,1,0,0,0.62,0.38,0.1
"初中","数学","六年级",16,654,944,104,46,0,99,0,638,4173,1,0,692,0,0,4173,46,12,0,0,12,2,14.1,0.0,0,84.8,0.9,19.3,71.0,0.0,0,10.3,59.6,14.9,50.5,0.0,0,8.6,54.6,23.9,57.7,0.0,0,17.8,63.3,5.1,23.6,0.0,0,2.0,12.2,639,8,104,20,115,78.3,1.2,15.0,2.9,16.6,322,175,542,3,27,15,16,1,7,1,0,0,38,15.2,2.2,0.0,0.0,82.6,1,0,0,0,1,0.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,7,2,2,0,22,21,6,6,0,67,1,1,0,0,0.15,0.85,0.04
"初中","语文","初三",64,1308,148,138,344,0,49,12,2194,109,148,0,1476,582,0,109,344,22,9,0,6,18,58.6,23.1,0,4.3,13.7,72.6,67.7,85.5,0,87.0,67.4,66.3,60.2,81.4,0,52.5,71.2,32.7,37.0,18.0,0,71.3,26.9,22.2,20.6,29.4,0,15.7,19.1,1265,40,138,50,253,76.6,2.7,9.3,3.4,17.1,263,105,463,3,57,2,9,0,38,76,3,69,158,11.0,22.1,0.9,20.1,45.9,3,1,1,1,0,33.3,33.3,33.3,0.0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,93,35,2,3,1,52,38,2,3,1,56,1,0,1,0,0.58,0.42,0.18
"初中","语文","初二",36,705,896,137,705,0,97,77,1704,519,160,0,856,431,0,519,705,27,7,0,13,31,34.0,17.1,0,20.6,28.0,77.3,72.8,69.0,0,94.6,75.2,65.1,61.3,69.0,0,67.7,65.5,81.3,81.2,64.9,0,98.4,78.8,24.6,26.2,22.3,0,22.7,25.4,674,32,137,37,252,62.6,3.7,16.0,4.3,29.4,217,129,345,3,62,14,32,0,149,75,18,67,396,21.1,10.6,2.6,9.5,56.2,22,2,1,17,2,9.1,4.5,77.3,9.1,0,2,1,0,0,4,0,3,1,0,0,0,4,1,47,25,2,1,0,19,53,4,2,0,40,0,0,1,0,0.4,0.6,0.24
"初中","英语","初二",76,1658,512,31,448,0,60,64,2217,71,169,0,1782,210,0,71,448,11,4,0,2,9,70.7,8.3,0,2.8,17.8,69.3,69.4,64.4,0,91.5,68.0,55.0,51.6,56.5,0,66.4,66.0,72.7,77.8,75.4,0,99.8,47.0,26.2,23.5,41.4,0,15.2,31.2,1642,8,31,57,90,90.9,0.4,1.7,3.2,5.1,519,233,1350,2,103,8,12,0,44,159,5,5,235,9.8,35.5,1.1,1.1,52.5,6,0,3,2,1,0.0,50.0,33.3,16.7,0,0,0,1,2,2,0,2,0,0,0,0,2,0,102,27,6,2,1,66,27,6,2,1,65,0,1,0,0,0.84,0.16,0.1
"初中","语文","初二",28,883,1924,10,240,0,31,16,2353,98,38,0,1034,1138,0,98,240,22,20,0,5,17,41.0,45.2,0,3.9,9.5,73.1,67.6,77.1,0,92.2,69.5,66.0,65.1,69.1,0,49.6,61.7,41.7,38.9,42.5,0,50.9,46.9,28.7,26.2,28.3,0,57.3,30.2,879,16,10,39,134,82.9,1.5,1.0,3.8,13.0,256,157,463,3,72,32,17,0,51,35,3,0,151,21.2,14.6,1.2,0.0,62.9,2,1,0,1,0,50.0,0.0,50.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77,24,1,2,0,50,31,1,3,0,65,0,0,1,0,0.42,0.58,0.2
"初中","英语","初三",24,1410,300,0,204,0,21,8,2328,141,31,0,1684,485,0,141,204,28,21,0,1,17,66.8,19.2,0,5.6,8.1,70.4,67.3,74.5,0,97.7,67.7,57.4,56.0,66.6,0,40.2,58.7,40.5,41.9,42.6,0,19.5,39.0,28.3,23.4,25.8,0,97.5,27.0,1410,20,0,63,231,82.5,1.2,0.0,3.7,13.7,376,108,1102,3,50,5,26,0,87,31,0,0,86,42.6,15.2,0.0,0.0,42.2,5,1,2,0,2,20.0,40.0,0.0,40.0,0,1,2,0,0,1,0,1,0,0,0,0,2,1,95,25,6,5,3,56,26,6,5,3,59,0,0,0,0,0.62,0.38,0.26
"初中","语文","初三",329,1804,644,32,195,0,10,12,2487,0,26,0,2251,64,0,0,195,15,2,0,0,13,89.3,2.5,0,0.0,7.7,67.0,66.9,64.9,0,0.0,68.8,56.4,56.8,48.8,0,0.0,54.1,47.2,46.3,24.8,0,0.0,64.5,26.2,25.1,67.3,0,0.0,25.4,1735,294,32,183,520,65.7,13.1,1.4,8.1,23.1,272,134,577,3,64,10,19,0,88,23,0,3,81,45.1,11.8,0.0,1.5,41.5,3,1,1,0,1,33.3,33.3,0.0,33.3,0,1,1,0,0,1,0,1,0,0,0,0,1,0,225,81,7,5,4,128,36,3,2,2,57,0,0,0,0,0.87,0.13,0.16
"初中","英语","初二",229,968,612,0,495,0,83,64,2136,146,158,0,1150,723,0,146,495,21,9,0,7,14,45.6,28.7,0,5.8,19.6,74.0,74.8,71.3,0,93.2,70.6,60.5,57.4,66.7,0,60.9,58.3,76.0,84.0,58.1,0,91.7,79.3,27.7,27.2,25.5,0,35.1,30.2,940,132,0,55,231,72.7,11.5,0.0,4.8,20.1,321,80,757,3,82,10,28,0,75,144,13,1,262,15.2,29.1,2.6,0.2,52.9,10,2,2,1,5,20.0,20.0,10.0,50.0,0,2,1,0,1,1,0,1,0,0,0,0,7,0,68,13,2,5,0,48,19,3,7,0,71,0,0,1,0,0.44,0.56,0.18
"初中","语文","初二",296,1329,2176,0,356,0,36,44,2380,36,63,0,1675,443,0,36,356,24,9,0,1,19,66.5,17.6,0,1.4,14.1,66.6,67.6,60.2,0,93.2,67.2,59.4,60.5,52.8,0,60.3,62.2,46.8,45.9,50.6,0,86.3,42.1,29.0,25.8,44.1,0,24.2,26.2,1285,155,0,84,373,70.1,9.3,0.0,5.0,22.3,241,114,489,3,80,36,8,0,109,44,0,19,184,30.6,12.4,0.0,5.3,51.7,9,6,1,2,0,66.7,11.1,22.2,0.0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,83,30,2,0,1,50,36,2,0,1,60,0,0,0,0,0.62,0.38,0.32
